,Color_PCA_KNN,Color_PCA_RandomForest,Color_PCA_SVM,Color_noPCA_KNN,Color_noPCA_RandomForest,Color_noPCA_SVM,HOG_PCA_KNN,HOG_PCA_RandomForest,HOG_PCA_SVM,HOG_noPCA_KNN,HOG_noPCA_RandomForest,HOG_noPCA_SVM,SIFT_PCA_KNN,SIFT_PCA_RandomForest,SIFT_PCA_SVM,SIFT_noPCA_KNN,SIFT_noPCA_RandomForest,SIFT_noPCA_SVM
brionne,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,1.0,0.0,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,1.0,0.0
brute-bonnet,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
budew,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,1.0,1.0,0.8333333333333334,1.0,0.6666666666666666
buneary,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,0.5,0.6666666666666666,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.16666666666666666
cacnea,0.75,0.875,0.0,0.375,0.875,0.0,0.875,0.875,0.875,0.875,0.875,0.875,0.75,0.875,0.875,0.75,0.875,0.625
calyrex,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
camerupt,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.625,0.5,0.75,0.875,0.125
carbink,0.5,0.5,0.0,0.5,0.75,0.0,0.75,0.75,1.0,0.5,1.0,1.0,0.25,0.75,0.5,0.25,0.5,0.0
carnivine,1.0,1.0,0.0,1.0,0.8333333333333334,0.0,0.8333333333333334,0.8333333333333334,1.0,0.8333333333333334,1.0,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.16666666666666666
cascoon,0.875,1.0,0.0,0.875,0.875,0.0,0.75,1.0,1.0,0.875,1.0,1.0,0.875,1.0,1.0,0.875,0.875,0.875
cetoddle,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
chatot,0.7142857142857143,1.0,0.0,0.8571428571428571,0.8571428571428571,0.0,0.7142857142857143,0.8571428571428571,0.7142857142857143,0.8571428571428571,1.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.7142857142857143,0.8571428571428571,0.7142857142857143,0.42857142857142855
cherrim,0.3333333333333333,0.6666666666666666,0.0,0.16666666666666666,1.0,0.0,0.8333333333333334,0.5,0.8333333333333334,0.8333333333333334,0.5,0.8333333333333334,0.5,0.5,0.5,0.5,0.5,0.0
chewtle,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
chimchar,0.3333333333333333,0.5,0.0,0.3333333333333333,0.5,0.0,0.16666666666666666,0.5,0.5,0.5,0.6666666666666666,0.5,0.5,0.5,0.5,0.5,0.5,0.16666666666666666
clawitzer,1.0,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.0
clobbopus,0.0,0.6666666666666666,0.0,0.6666666666666666,1.0,0.0,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.0,1.0,0.3333333333333333,0.0,0.6666666666666666,0.0
clodsire,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
cobalion,0.0,0.5,0.0,0.0,0.75,0.0,0.5,0.75,0.75,0.5,0.75,0.75,0.25,0.5,0.5,0.5,0.5,0.0
comfey,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,1.0,0.0,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0
copperajah,0.0,0.6666666666666666,0.0,0.0,0.6666666666666666,0.0,0.0,1.0,0.6666666666666666,0.0,1.0,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,0.0
cottonee,0.5,0.75,0.0,0.75,1.0,0.0,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.0
crabrawler,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
croagunk,0.875,1.0,0.0,0.875,1.0,0.0,0.5,1.0,0.75,0.75,1.0,0.75,0.5,0.875,0.375,0.5,0.75,0.125
cutiefly,0.6666666666666666,1.0,0.0,0.6666666666666666,0.6666666666666666,0.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0
darkrai,0.6666666666666666,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.8333333333333334,0.8333333333333334,0.5,0.6666666666666666,0.3333333333333333
dartrix,0.3333333333333333,0.6666666666666666,0.0,0.0,1.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0
darumaka,0.75,0.75,0.0,0.5,1.0,0.0,0.75,0.75,0.75,0.25,0.75,0.75,0.5,0.75,0.75,0.5,0.75,0.0
deerling,0.75,1.0,0.0,0.75,1.0,0.0,0.75,1.0,1.0,0.25,1.0,1.0,0.75,1.0,0.75,0.75,0.75,0.0
deino,0.25,0.75,0.0,0.5,1.0,0.0,0.5,1.0,0.75,0.5,1.0,0.75,0.5,0.5,0.5,0.5,0.5,0.0
dewott,0.75,0.75,0.0,0.0,1.0,0.0,0.75,1.0,0.75,0.75,0.75,0.75,0.5,0.5,0.5,0.5,0.5,0.0
dhelmise,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0
diggersby,0.0,1.0,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,1.0,1.0,0.3333333333333333,0.6666666666666666,1.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.0
donphan,0.5,0.875,0.125,0.25,1.0,0.0,0.75,1.0,1.0,0.875,1.0,1.0,0.75,1.0,0.75,0.75,1.0,0.0
dragalge,0.3333333333333333,0.6666666666666666,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.0
dragonair,0.375,0.75,0.125,0.375,0.5,0.0,0.25,0.75,0.75,0.25,0.75,0.75,0.5,0.25,0.25,0.5,0.5,0.0
drakloak,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
drowzee,0.25,0.375,0.25,0.25,0.5,0.25,0.375,0.75,0.75,0.25,0.75,0.625,0.25,0.25,0.25,0.25,0.375,0.0
ducklett,0.25,0.25,0.0,0.25,0.5,0.0,0.5,0.75,0.5,0.75,0.75,0.75,0.25,0.25,0.25,0.25,0.5,0.0
dugtrio,0.375,0.5,0.125,0.25,0.375,0.125,0.75,1.0,0.875,0.75,1.0,0.75,0.375,0.625,0.5,0.375,0.625,0.0
duraludon,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0
dusclops,0.75,1.0,0.25,0.875,1.0,0.375,0.875,1.0,1.0,0.875,1.0,1.0,0.5,0.75,0.75,0.5,0.875,0.0
dusknoir,0.6666666666666666,1.0,0.0,0.5,1.0,0.0,0.6666666666666666,1.0,1.0,0.6666666666666666,1.0,1.0,0.8333333333333334,1.0,1.0,0.8333333333333334,1.0,0.3333333333333333
dustox,0.5,0.75,0.375,0.75,1.0,0.375,0.875,1.0,1.0,1.0,1.0,1.0,0.75,0.875,0.875,0.75,0.875,0.75
eelektross,0.25,0.75,0.0,0.5,0.5,0.0,0.25,0.75,0.75,0.5,0.75,0.75,0.25,0.25,0.25,0.25,0.25,0.0
eiscue-ice,0.0,0.6666666666666666,0.0,0.0,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0
elekid,0.5,0.875,0.0,0.625,1.0,0.0,0.875,1.0,1.0,0.5,1.0,1.0,0.625,1.0,0.25,0.625,1.0,0.0
emboar,0.5,0.75,0.5,0.75,0.75,0.0,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.5,0.75,0.75,0.0
empoleon,0.6666666666666666,0.6666666666666666,0.5,1.0,0.6666666666666666,0.16666666666666666,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,0.5,0.6666666666666666,0.6666666666666666,0.5,0.6666666666666666,0.5
enamorus-incarnate,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
entei,0.125,0.375,0.0,0.125,0.875,0.0,1.0,0.875,1.0,1.0,0.75,1.0,0.25,0.5,0.125,0.25,0.625,0.0
espeon,0.375,1.0,0.125,0.375,0.875,0.125,0.5,1.0,0.875,0.375,1.0,0.875,0.75,0.625,0.25,0.75,0.75,0.125
eternatus,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0
exeggutor,0.375,0.75,0.25,0.125,0.75,0.25,0.75,1.0,1.0,0.875,1.0,1.0,0.5,0.875,0.25,0.5,0.875,0.375
farfetchd,0.5,0.75,0.375,0.5,0.875,0.375,0.75,0.875,0.75,0.75,0.875,0.875,0.75,0.75,0.0,0.75,0.75,0.0
fearow,0.125,0.375,0.25,0.25,0.625,0.25,0.25,0.75,0.75,0.25,0.75,0.75,0.25,0.625,0.25,0.25,0.625,0.25
ferroseed,0.25,0.75,0.0,0.25,0.75,0.0,1.0,1.0,0.75,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,0.0
ferrothorn,0.75,0.0,0.0,0.75,0.0,0.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.0,0.0
flamigo,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
flapple,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0
flittle,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
floatzel,0.875,0.875,0.25,0.625,1.0,0.25,0.875,1.0,1.0,0.875,1.0,1.0,0.875,1.0,1.0,1.0,0.875,0.625
floette,0.0,1.0,0.0,0.0,1.0,0.0,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.0
frigibax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
froslass,0.2857142857142857,1.0,0.14285714285714285,0.42857142857142855,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7142857142857143,1.0,0.8571428571428571,0.7142857142857143,1.0,0.0
furret,0.5,0.875,0.25,0.625,1.0,0.125,0.5,0.75,0.75,0.375,0.75,0.75,0.5,0.75,0.625,0.5,0.75,0.0
genesect,0.25,0.75,0.0,0.25,0.5,0.0,0.75,1.0,1.0,0.75,1.0,1.0,0.25,0.25,0.5,0.25,0.25,0.0
girafarig,0.625,1.0,0.0,0.75,1.0,0.0,0.875,1.0,1.0,1.0,1.0,1.0,0.75,0.625,0.625,0.75,1.0,0.125
golisopod,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0
golurk,0.5,0.5,0.0,0.25,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0
gorebyss,0.5,0.625,0.25,0.5,0.625,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.875,1.0,0.5,0.875,0.75
gothita,0.75,1.0,0.0,1.0,0.75,0.0,1.0,1.0,1.0,0.75,1.0,1.0,0.75,0.75,0.75,0.75,0.75,0.0
gourgeist-average,0.0,0.6666666666666666,0.0,0.0,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
great-tusk,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
greavard,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
greedent,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,1.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
groudon,0.5,0.75,0.5,0.375,0.875,0.0,0.625,0.875,0.875,0.5,0.875,0.875,0.5,0.625,0.625,0.5,0.5,0.5
growlithe,0.25,0.5,0.25,0.125,0.625,0.125,0.5,0.75,0.75,0.5,1.0,0.75,0.5,0.5,0.25,0.5,0.625,0.25
guzzlord,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
happiny,0.5,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,1.0,0.8333333333333334,0.8333333333333334,1.0,0.3333333333333333
hatterene,0.0,0.6666666666666666,0.0,0.0,1.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0
helioptile,0.75,1.0,0.0,0.5,1.0,0.0,0.5,0.5,0.5,0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.75,0.0
hippopotas,0.75,1.0,0.25,0.875,1.0,0.625,1.0,1.0,1.0,1.0,1.0,1.0,0.875,1.0,1.0,0.875,1.0,1.0
hitmonlee,0.375,0.5,0.25,0.375,0.75,0.125,0.5,0.875,0.75,0.625,0.875,0.75,0.5,0.625,0.625,0.5,0.625,0.0
honchkrow,0.6666666666666666,1.0,0.3333333333333333,0.6666666666666666,0.8333333333333334,0.0,0.8333333333333334,1.0,1.0,0.8333333333333334,1.0,1.0,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.16666666666666666
houndour,0.375,0.75,0.25,0.375,0.875,0.0,0.625,0.875,0.875,0.625,1.0,0.875,0.625,0.625,0.75,0.75,0.625,0.125
hypno,0.25,0.625,0.125,0.125,0.625,0.125,1.0,1.0,1.0,0.875,1.0,1.0,0.625,0.5,0.375,0.625,0.75,0.0
illumise,0.625,0.875,0.25,0.75,0.875,0.0,1.0,1.0,0.875,0.875,0.875,0.875,0.5,1.0,0.25,0.5,0.75,0.125
jangmo-o,0.0,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,1.0,1.0,0.6666666666666666,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0
jolteon,0.0,0.25,0.0,0.375,0.625,0.0,0.625,1.0,0.625,0.625,0.75,0.625,0.375,0.625,0.375,0.375,0.75,0.5
joltik,0.75,0.75,0.0,0.75,0.75,0.0,0.75,1.0,0.75,0.75,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.0
kabutops,0.5,0.375,0.375,0.5,0.625,0.375,0.5,1.0,0.75,0.5,0.875,0.875,0.75,0.5,0.75,0.75,0.875,0.0
kadabra,0.375,0.5,0.125,0.25,0.5,0.0,0.75,0.75,0.75,0.5,0.75,0.75,0.625,0.625,0.625,0.625,0.625,0.125
karrablast,0.25,0.75,0.0,0.0,1.0,0.0,0.75,0.75,0.75,0.5,0.75,0.75,0.5,0.75,0.75,0.5,0.75,0.0
kingdra,0.75,0.75,0.125,0.625,0.875,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.375,0.375,0.125,0.375,0.5,0.0
kleavor,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
koffing,0.25,0.25,0.25,0.0,0.375,0.25,0.25,0.75,0.5,0.125,0.875,0.5,0.125,0.25,0.125,0.125,0.5,0.125
krookodile,0.25,0.75,0.0,0.5,0.75,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.25,0.75,0.25,0.25,0.0
lampent,0.25,0.5,0.0,0.25,0.75,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.25,0.25,0.25,0.25,0.0
latios,0.625,0.75,0.25,0.625,1.0,0.125,1.0,1.0,1.0,1.0,1.0,1.0,0.875,0.75,0.875,0.875,0.75,0.375
leavanny,0.5,0.5,0.0,0.75,0.75,0.0,0.5,0.5,0.5,0.0,0.75,0.5,0.5,0.5,0.5,0.5,0.5,0.0
liepard,0.5,0.25,0.0,0.25,0.75,0.0,0.5,1.0,0.75,0.75,0.75,0.75,0.0,0.75,0.25,0.0,0.5,0.0
litten,0.0,0.6666666666666666,0.0,0.3333333333333333,1.0,0.0,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0
litwick,0.25,0.25,0.0,0.25,0.5,0.0,0.0,0.25,0.0,0.0,0.25,0.25,0.0,0.25,0.25,0.0,0.25,0.0
lokix,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
lucario,0.3333333333333333,0.8333333333333334,0.16666666666666666,0.3333333333333333,0.6666666666666666,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.16666666666666666
ludicolo,0.875,1.0,0.625,0.875,1.0,0.625,0.75,1.0,1.0,0.75,1.0,1.0,0.875,1.0,0.875,0.875,1.0,0.875
lunala,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
lycanroc-midday,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,1.0,0.0,0.6666666666666666,1.0,1.0,0.6666666666666666,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.0
magby,0.375,0.75,0.0,0.125,0.75,0.0,0.375,1.0,1.0,0.5,1.0,1.0,0.5,0.625,0.375,0.5,0.75,0.125
magcargo,0.5,0.625,0.25,0.5,0.625,0.25,0.5,0.875,0.75,0.625,0.875,0.75,0.5,0.75,0.375,0.5,0.75,0.0
mandibuzz,0.25,0.25,0.0,0.25,0.75,0.0,0.25,0.75,0.75,0.25,0.5,0.75,0.0,0.0,0.0,0.0,0.0,0.0
mareanie,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0
mareep,0.125,0.875,0.125,0.125,1.0,0.0,0.75,1.0,1.0,0.75,1.0,1.0,0.5,0.75,0.375,0.5,0.875,0.0
marshtomp,0.25,0.75,0.25,0.25,0.875,0.0,0.625,0.875,1.0,0.75,1.0,1.0,0.5,0.5,0.375,0.5,0.5,0.125
masquerain,0.625,0.75,0.125,0.5,0.875,0.0,0.375,1.0,0.5,0.375,0.5,0.5,0.625,1.0,0.875,0.625,0.75,0.875
mew,0.5,0.5,0.5,0.375,0.75,0.0,0.5,1.0,0.875,0.5,1.0,0.875,0.5,0.875,0.875,0.5,0.875,0.0
mienshao,0.25,1.0,0.0,0.0,0.75,0.0,0.75,1.0,1.0,0.0,1.0,1.0,0.25,0.75,0.75,0.25,1.0,0.0
milotic,0.75,0.875,0.75,0.875,0.875,0.625,1.0,1.0,1.0,1.0,1.0,1.0,0.625,0.625,0.75,0.625,0.75,0.25
miltank,0.5,1.0,0.375,0.875,1.0,0.125,0.625,1.0,1.0,0.5,1.0,1.0,0.5,0.75,0.25,0.5,0.75,0.0
mime-jr,0.5,0.8333333333333334,0.0,0.6666666666666666,1.0,0.0,0.5,1.0,0.8333333333333334,0.5,1.0,1.0,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.8333333333333334,0.0
mimikyu-disguised,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
minccino,0.0,0.25,0.0,0.0,0.5,0.0,0.25,0.5,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.0
monferno,0.3333333333333333,0.5,0.0,0.3333333333333333,0.5,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.5,0.6666666666666666,0.5,0.5,0.3333333333333333
morelull,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0
mothim,0.6666666666666666,1.0,0.16666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.8333333333333334,1.0,1.0,0.8333333333333334,0.8333333333333334,1.0,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,0.5,0.0
mudsdale,1.0,0.6666666666666666,0.0,0.6666666666666666,1.0,0.0,0.6666666666666666,1.0,1.0,0.6666666666666666,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.0
